,idPlanGobierno,idOrganizacionPolitica,txOrganizacionPolitica,idTipoEleccion,txTipoEleccion,idJuradoElectoral,txJuradoElectoral,txRutaCompleto,txRutaResumen,txTipoPlan,txCodExpedienteExt,idEstadoLista,txEstadoLista,nuCantidadCandidatos,txUbigeo,txDistritoElectoral,txRegion,txProvincia,txDistrito
0,18845,4,ACCION POPULAR,6,MUNICIPAL DISTRITAL,1696,LIMA NORTE 1,https://mpesije.jne.gob.pe/docs/b2592a29-d36d-4285-afb8-211174d995e1.pdf,https://mpesije.jne.gob.pe/docs/ea35a205-1a90-4261-8d20-a3747dee877c.pdf,,ERM.2022010451,158,INSCRITO,10,140102,,LIMA,LIMA,ANCON
1,16707,14,PARTIDO DEMOCRATICO SOMOS PERU,6,MUNICIPAL DISTRITAL,1696,LIMA NORTE 1,https://mpesije.jne.gob.pe/docs/f2fc8d1b-c995-48fb-847b-776b71217ee2.pdf,https://mpesije.jne.gob.pe/docs/cde88d4d-8e17-478d-86eb-c34c38f74f77.pdf,,ERM.2022011496,158,INSCRITO,10,140102,,LIMA,LIMA,ANCON
2,16985,22,RENOVACION POPULAR,6,MUNICIPAL DISTRITAL,1696,LIMA NORTE 1,https://mpesije.jne.gob.pe/docs/4cea5ef1-2d56-4095-863e-3b768c8e94b8.pdf,https://mpesije.jne.gob.pe/docs/81dee1b8-b1ff-491a-8025-f9139f5bce64.pdf,,ERM.2022008628,158,INSCRITO,10,140102,,LIMA,LIMA,ANCON
3,25113,1257,ALIANZA PARA EL PROGRESO,6,MUNICIPAL DISTRITAL,1696,LIMA NORTE 1,https://mpesije.jne.gob.pe/docs/9feb80d5-d91f-4939-8784-f9ea268ecbd1.pdf,https://mpesije.jne.gob.pe/docs/ab5b3d21-b668-478b-9ecd-0353f4c0e657.pdf,,ERM.2022014269,158,INSCRITO,10,140102,,LIMA,LIMA,ANCON
4,20810,1264,JUNTOS POR EL PERU,6,MUNICIPAL DISTRITAL,1696,LIMA NORTE 1,https://mpesije.jne.gob.pe/docs/0eae3298-e252-47f4-b772-4ce875f4330e.pdf,https://mpesije.jne.gob.pe/docs/4548ea97-bfda-4ddb-abd0-5de8c5b0654e.pdf,,ERM.2022015100,152,IMPROCEDENTE,10,140102,,LIMA,LIMA,ANCON
5,16637,2857,PARTIDO FRENTE DE LA ESPERANZA 2021,6,MUNICIPAL DISTRITAL,1696,LIMA NORTE 1,https://mpesije.jne.gob.pe/docs/f6c7ed00-2d4d-4b7e-88fb-762641db1f5b.pdf,https://mpesije.jne.gob.pe/docs/8c139b84-1e5b-4fc0-ae0a-595becf38301.pdf,,ERM.2022005820,158,INSCRITO,10,140102,,LIMA,LIMA,ANCON
6,23428,2173,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,6,MUNICIPAL DISTRITAL,1696,LIMA NORTE 1,https://mpesije.jne.gob.pe/docs/97a8aae8-99a2-4f4b-b85f-a26ae10211c3.pdf,https://mpesije.jne.gob.pe/docs/693d713e-3572-46a4-915a-39f4b8d08f5f.pdf,,ERM.2022014042,158,INSCRITO,10,140102,,LIMA,LIMA,ANCON
7,20276,2218,PARTIDO POLITICO NACIONAL PERU LIBRE,6,MUNICIPAL DISTRITAL,1696,LIMA NORTE 1,https://mpesije.jne.gob.pe/docs/5b9d1020-c0af-4332-b1df-7281039ec65a.pdf,https://mpesije.jne.gob.pe/docs/53927f96-a11f-49ed-90aa-9e5d16a28401.pdf,,ERM.2022014264,158,INSCRITO,10,140102,,LIMA,LIMA,ANCON
8,18019,2731,PODEMOS PERU,6,MUNICIPAL DISTRITAL,1696,LIMA NORTE 1,https://mpesije.jne.gob.pe/docs/28f00de0-31d2-4a15-b3b9-c690d3129beb.pdf,https://mpesije.jne.gob.pe/docs/a75a2bf8-bb19-4e0b-b958-01ce7dea38f2.pdf,,ERM.2022008692,158,INSCRITO,10,140102,,LIMA,LIMA,ANCON
9,20548,2898,FE EN EL PERU,6,MUNICIPAL DISTRITAL,1696,LIMA NORTE 1,https://mpesije.jne.gob.pe/docs/a8ccd11b-31f9-426a-9322-ff273f08ae26.pdf,https://mpesije.jne.gob.pe/docs/b14f4c19-9b3c-4a67-b64a-720e53af07ee.pdf,,ERM.2022006595,152,IMPROCEDENTE,10,140102,,LIMA,LIMA,ANCON
