,idPlanGobierno,idOrganizacionPolitica,txOrganizacionPolitica,idTipoEleccion,txTipoEleccion,idJuradoElectoral,txJuradoElectoral,txRutaCompleto,txRutaResumen,txTipoPlan,txCodExpedienteExt,idEstadoLista,txEstadoLista,nuCantidadCandidatos,txUbigeo,txDistritoElectoral,txRegion,txProvincia,txDistrito
0,27062,4,ACCION POPULAR,4,REGIONAL,1678,HUANCAVELICA,https://mpesije.jne.gob.pe/docs/09404ecb-ef66-4381-86f6-8ae44caa398b.pdf,https://mpesije.jne.gob.pe/docs/f5d77bf3-6dd8-4f98-943c-9c85a29aad28.pdf,,ERM.2022015904,158,INSCRITO,24,80000,,HUANCAVELICA,,
1,20786,4,ACCION POPULAR,4,REGIONAL,1709,MOYOBAMBA,https://mpesije.jne.gob.pe/docs/21596036-f27e-4eb5-b1da-9a11ec670cff.pdf,https://mpesije.jne.gob.pe/docs/d95d3941-621b-40a0-9795-0cbd5e24b04b.pdf,,ERM.2022014541,158,INSCRITO,32,210000,,SAN MARTIN,,
2,26283,4,ACCION POPULAR,4,REGIONAL,1730,TAMBOPATA,https://mpesije.jne.gob.pe/docs/cc0ad0ab-04a6-459b-a399-cc40c62d0cca.pdf,https://mpesije.jne.gob.pe/docs/44eb1c73-1b09-4e8e-be65-8420720cb892.pdf,,ERM.2022016647,152,IMPROCEDENTE,22,160000,,MADRE DE DIOS,,
3,26484,4,ACCION POPULAR,4,REGIONAL,1733,TRUJILLO,https://mpesije.jne.gob.pe/docs/8c90c97f-b936-4e6c-a6be-f02ee6b74895.pdf,https://mpesije.jne.gob.pe/docs/89ca69d7-7f8c-414e-9a65-6a96299ae2da.pdf,,ERM.2022017211,158,INSCRITO,36,120000,,LA LIBERTAD,,
4,27420,4,ACCION POPULAR,4,REGIONAL,1679,HUANCAYO,https://mpesije.jne.gob.pe/docs/fcb198a5-a36e-4487-8a9b-eec6eb97a209.pdf,https://mpesije.jne.gob.pe/docs/9c00f708-6a84-42bc-8b8d-1a13ea4b3b5e.pdf,,ERM.2022015057,152,IMPROCEDENTE,28,110000,,JUNIN,,
5,28711,4,ACCION POPULAR,4,REGIONAL,1682,HUARAZ,https://mpesije.jne.gob.pe/docs/0f865f0a-31e3-46f7-bad3-3d3c3900cf6b.pdf,https://mpesije.jne.gob.pe/docs/2a972bfc-8a0d-49f4-af5e-db8868ca6597.pdf,,ERM.2022018419,152,IMPROCEDENTE,52,20000,,ANCASH,,
6,25827,4,ACCION POPULAR,4,REGIONAL,1646,ABANCAY,https://mpesije.jne.gob.pe/docs/30d31a14-75f2-4b64-b68b-fcaa63986249.pdf,https://mpesije.jne.gob.pe/docs/d26e1fa6-3a14-4e19-b7df-685be7641596.pdf,,ERM.2022018103,158,INSCRITO,24,30000,,APURIMAC,,
7,28692,4,ACCION POPULAR,4,REGIONAL,1670,CORONEL PORTILLO,https://mpesije.jne.gob.pe/docs/06efe8c4-7f84-46ed-8072-319a9e97776b.pdf,https://mpesije.jne.gob.pe/docs/7d65eb32-8c4c-45e6-b098-ba823b5fe016.pdf,,ERM.2022009024,158,INSCRITO,24,250000,,UCAYALI,,
8,22811,4,ACCION POPULAR,4,REGIONAL,1705,MARISCAL NIETO,https://mpesije.jne.gob.pe/docs/0b0306d9-79a0-4223-87ee-ab66633b4931.pdf,https://mpesije.jne.gob.pe/docs/f3e2be0c-6abb-46f5-b9ca-96284a3e6123.pdf,,ERM.2022015841,158,INSCRITO,22,170000,,MOQUEGUA,,
9,29087,2856,ALIANZA GOBIERNO UNIDAD Y ACCION,4,REGIONAL,1682,HUARAZ,https://mpesije.jne.gob.pe/docs/72095b8b-5e22-44ed-b5d2-f6cbf134e12b.pdf,https://mpesije.jne.gob.pe/docs/262faa43-8555-4f96-9668-83309e2e56dd.pdf,,ERM.2022007521,158,INSCRITO,52,20000,,ANCASH,,
10,26882,2809,ALIANZA LIBERTAD MADREDIOSENSE,4,REGIONAL,1730,TAMBOPATA,https://mpesije.jne.gob.pe/docs/1b37b9f0-59a1-4ab9-a1c6-536186f6001f.pdf,https://mpesije.jne.gob.pe/docs/75ce5101-bea8-40f2-b6e5-01420b794650.pdf,,ERM.2022008156,158,INSCRITO,22,160000,,MADRE DE DIOS,,
11,29269,1257,ALIANZA PARA EL PROGRESO,4,REGIONAL,1678,HUANCAVELICA,https://mpesije.jne.gob.pe/docs/d72e3a3e-3f0a-4370-a783-ca3aa006c4fd.pdf,https://mpesije.jne.gob.pe/docs/7feda762-5960-4c10-8b51-e8d4346cd050.pdf,,ERM.2022008656,158,INSCRITO,24,80000,,HUANCAVELICA,,
12,28424,1257,ALIANZA PARA EL PROGRESO,4,REGIONAL,1676,HUAMANGA,https://mpesije.jne.gob.pe/docs/4ad36a44-43b3-489b-bb83-135023e98f6f.pdf,https://mpesije.jne.gob.pe/docs/bae7f1ad-2168-4a53-b7a3-c28072e51123.pdf,,ERM.2022009719,158,INSCRITO,36,50000,,AYACUCHO,,
13,27189,1257,ALIANZA PARA EL PROGRESO,4,REGIONAL,1671,CUSCO,https://mpesije.jne.gob.pe/docs/7f8c2df5-2a4b-415e-a0e6-a068388472d3.pdf,https://mpesije.jne.gob.pe/docs/611a6b78-4758-48e5-9902-a3e665a07bfb.pdf,,ERM.2022009671,158,INSCRITO,46,70000,,CUSCO,,
14,27297,1257,ALIANZA PARA EL PROGRESO,4,REGIONAL,1670,CORONEL PORTILLO,https://mpesije.jne.gob.pe/docs/4a3a3ce8-49a4-40c1-a486-86748f06a3cd.pdf,https://mpesije.jne.gob.pe/docs/1054b216-4931-4b31-89a2-87bc110f2968.pdf,,ERM.2022009075,158,INSCRITO,24,250000,,UCAYALI,,
15,27490,1257,ALIANZA PARA EL PROGRESO,4,REGIONAL,1646,ABANCAY,https://mpesije.jne.gob.pe/docs/bd6c60a2-09c5-49fa-a9bf-2c4cd3c5ab19.pdf,https://mpesije.jne.gob.pe/docs/9923b757-5ba8-41c8-81b9-bbc207677090.pdf,,ERM.2022014597,158,INSCRITO,24,30000,,APURIMAC,,
16,28151,1257,ALIANZA PARA EL PROGRESO,4,REGIONAL,1715,PIURA,https://mpesije.jne.gob.pe/docs/d3c3afa6-2b7a-46dc-81b1-edc88cd641b7.pdf,https://mpesije.jne.gob.pe/docs/3d79519b-2980-4c51-9a3d-267c9882a164.pdf,,ERM.2022012547,158,INSCRITO,24,190000,,PIURA,,
