,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
0,62,MOVIMIENTO REGIONAL SOMOS CALLAO,1,20,CALLAO,2896,CALLAO,,,4,10,10,NO,0,20,REGIONAL
1,1997,UCAYALI REGION CON FUTURO,1,24,UCAYALI,233,UCAYALI,,,4,11,13,NO,0,24,REGIONAL
2,3609,RENOVACION POPULAR,1,24,ICA,22,ICA,,,4,11,13,NO,0,24,REGIONAL
3,4059,PARTIDO DEMOCRATICO SOMOS PERU,1,40,PUNO,14,PUNO,,,4,20,20,NO,0,40,REGIONAL
4,5385,PARTIDO POLITICO NACIONAL PERU LIBRE,1,22,MADRE DE DIOS,2218,MADRE DE DIOS,,,4,11,11,NO,0,22,REGIONAL
5,5891,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,22,CALLAO,2901,CALLAO,,,4,10,12,SI,2,20,REGIONAL
6,5898,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,17,TUMBES,2901,TUMBES,,,4,8,9,SI,1,16,REGIONAL
7,5910,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,27,APURIMAC,2901,APURIMAC,,,4,14,13,SI,3,24,REGIONAL
8,5829,PARTIDO POLITICO NACIONAL PERU LIBRE,1,22,MOQUEGUA,2218,MOQUEGUA,,,4,11,11,NO,0,22,REGIONAL
9,3036,IGUALDAD NACIONAL CRISTIANA AUTONOMA - INCA,1,30,TACNA,1403,TACNA,,,4,15,15,SI,8,22,REGIONAL
10,6836,ACCION POPULAR,1,32,SAN MARTIN,4,SAN MARTIN,,,4,17,15,NO,0,32,REGIONAL
11,6466,CONTIGO CALLAO,1,22,CALLAO,2652,CALLAO,,,4,12,10,SI,2,20,REGIONAL
12,1124,MOVIMENTO INDEPENDIENTE REGIONAL FUERZA TACNA,1,22,TACNA,2432,TACNA,,,4,11,11,NO,0,22,REGIONAL
13,8255,"UNIDAD, EXPERIENCIA Y TRABAJO CON ETICA",1,19,TUMBES,2759,TUMBES,,,4,10,9,SI,3,16,REGIONAL
14,5752,FUERZA AREQUIPEÑA,1,30,AREQUIPA,1393,AREQUIPA,,,4,15,15,NO,0,30,REGIONAL
15,2086,ORGANIZACION POLITICA UNIDAD REGIONAL,1,24,PIURA,2711,PIURA,,,4,13,11,NO,0,24,REGIONAL
16,8677,MOVIMIENTO REGIONAL FUERZA POR MADRE DE DIOS - MR FMDD,1,24,MADRE DE DIOS,2300,MADRE DE DIOS,,,4,12,12,SI,2,22,REGIONAL
17,9237,TODOS SOMOS UCAYALI,1,32,UCAYALI,1396,UCAYALI,,,4,17,15,SI,8,24,REGIONAL
18,9558,PARTIDO PATRIOTICO DEL PERU,1,20,CALLAO,2869,CALLAO,,,4,11,9,NO,0,20,REGIONAL
19,9801,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,35,LORETO,2901,LORETO,,,4,18,17,SI,1,34,REGIONAL
20,9838,MOVIMIENTO ESPERANZA REGION AMAZONICA,1,34,LORETO,150,LORETO,,,4,17,17,NO,0,34,REGIONAL
21,7600,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,24,MADRE DE DIOS,2173,MADRE DE DIOS,,,4,12,12,SI,2,22,REGIONAL
22,10243,RENOVACION POPULAR,1,35,AREQUIPA,22,AREQUIPA,,,4,18,17,SI,5,30,REGIONAL
23,1148,RENOVACION POPULAR,1,28,AMAZONAS,22,AMAZONAS,,,4,14,14,SI,6,22,REGIONAL
24,7114,MOVIMIENTO INDEPENDIENTE REGIONAL CAMBIO UCAYALINO,1,27,UCAYALI,2278,UCAYALI,,,4,13,14,SI,3,24,REGIONAL
25,7337,FE EN EL PERU,1,24,UCAYALI,2898,UCAYALI,,,4,13,11,NO,0,24,REGIONAL
26,10886,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,38,AYACUCHO,2901,AYACUCHO,,,4,19,19,SI,2,36,REGIONAL
27,11121,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,27,PIURA,2901,PIURA,,,4,14,13,SI,3,24,REGIONAL
28,11096,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,26,ICA,2901,ICA,,,4,13,13,SI,2,24,REGIONAL
29,11141,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,24,UCAYALI,2901,UCAYALI,,,4,11,13,NO,0,24,REGIONAL
