,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
0,53,NUEVA LIBERTAD,1,10,SANTIAGO DE CHUCO - LA LIBERTAD,2232,LA LIBERTAD,SANTIAGO DE CHUCO,,5,6,4,NO,0,10,MUNICIPAL PROVINCIAL
1,64,MOVIMIENTO REGIONAL SOMOS CALLAO,1,19,CALLAO - CALLAO,2896,CALLAO,CALLAO,,5,10,9,SI,3,16,MUNICIPAL PROVINCIAL
2,131,RENOVACION POPULAR,1,19,TRUJILLO - LA LIBERTAD,22,LA LIBERTAD,TRUJILLO,,5,10,9,SI,3,16,MUNICIPAL PROVINCIAL
3,194,SOCIOS POR ANCASH,1,13,CASMA - ANCASH,2881,ANCASH,CASMA,,5,7,6,SI,3,10,MUNICIPAL PROVINCIAL
4,562,CONTIGO CALLAO,1,20,CALLAO - CALLAO,2652,CALLAO,CALLAO,,5,11,9,SI,4,16,MUNICIPAL PROVINCIAL
5,639,MOVIMIENTO INDEPENDIENTE REGIONAL CAMBIO UCAYALINO,1,12,PADRE ABAD - UCAYALI,2278,UCAYALI,PADRE ABAD,,5,6,6,SI,2,10,MUNICIPAL PROVINCIAL
6,674,MOVIMIENTO INDEPENDIENTE REGIONAL CAMBIO UCAYALINO,1,8,PURUS - UCAYALI,2278,UCAYALI,PURUS,,5,5,3,SI,2,6,MUNICIPAL PROVINCIAL
7,681,CONTIGO REGION,1,19,SULLANA - PIURA,2862,PIURA,SULLANA,,5,10,9,SI,5,14,MUNICIPAL PROVINCIAL
8,142,"AREQUIPA, TRADICION Y FUTURO",1,11,CARAVELI - AREQUIPA,142,AREQUIPA,CARAVELI,,5,6,5,SI,3,8,MUNICIPAL PROVINCIAL
9,796,UNION REGIONAL,1,19,TOCACHE - SAN MARTIN,2722,SAN MARTIN,TOCACHE,,5,10,9,SI,9,10,MUNICIPAL PROVINCIAL
10,794,UNION REGIONAL,1,14,HUALLAGA - SAN MARTIN,2722,SAN MARTIN,HUALLAGA,,5,8,6,SI,6,8,MUNICIPAL PROVINCIAL
11,862,SOCIOS POR ANCASH,1,19,SANTA - ANCASH,2881,ANCASH,SANTA,,5,10,9,SI,5,14,MUNICIPAL PROVINCIAL
12,867,UNION REGIONAL,1,10,EL DORADO - SAN MARTIN,2722,SAN MARTIN,EL DORADO,,5,6,4,SI,2,8,MUNICIPAL PROVINCIAL
13,880,CONTIGO REGION,1,16,AYABACA - PIURA,2862,PIURA,AYABACA,,5,8,8,SI,4,12,MUNICIPAL PROVINCIAL
14,933,MOVIMIENTO REGIONAL REVALORA,1,12,ISLAY - AREQUIPA,2719,AREQUIPA,ISLAY,,5,6,6,SI,2,10,MUNICIPAL PROVINCIAL
15,976,JUNTOS POR EL PERU,1,10,RECUAY - ANCASH,1264,ANCASH,RECUAY,,5,5,5,SI,4,6,MUNICIPAL PROVINCIAL
16,1058,MOVIMIENTO INDEPENDIENTE REGIONAL CAMBIO UCAYALINO,1,17,CORONEL PORTILLO - UCAYALI,2278,UCAYALI,CORONEL PORTILLO,,5,9,8,SI,3,14,MUNICIPAL PROVINCIAL
17,1075,AREQUIPA TRANSFORMACION,1,21,AREQUIPA - AREQUIPA,2313,AREQUIPA,AREQUIPA,,5,11,10,SI,5,16,MUNICIPAL PROVINCIAL
18,1106,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,9,HUARMEY - ANCASH,2173,ANCASH,HUARMEY,,5,5,4,SI,1,8,MUNICIPAL PROVINCIAL
19,1096,MOVIMIENTO REGIONAL WARI LLAQTA,1,15,LA MAR - AYACUCHO,2706,AYACUCHO,LA MAR,,5,8,7,SI,5,10,MUNICIPAL PROVINCIAL
20,1167,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,18,CAJAMARCA - CAJAMARCA,2173,CAJAMARCA,CAJAMARCA,,5,10,8,SI,4,14,MUNICIPAL PROVINCIAL
21,1119,MOVIMIENTO REGIONAL EL MAICITO,1,15,PALLASCA - ANCASH,2245,ANCASH,PALLASCA,,5,8,7,SI,7,8,MUNICIPAL PROVINCIAL
22,1228,MOVIMIENTO INDEPENDIENTE REGIONAL MI BUEN VECINO,1,11,PUERTO INCA - HUANUCO,2730,HUANUCO,PUERTO INCA,,5,5,6,SI,3,8,MUNICIPAL PROVINCIAL
