,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_distrito,fecha,hora,avance,distrito,postulaDistrito,organizacionPolitica,nombreCompleto,feNacimiento,txSexo
8,8,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.0,128,128,458,00000008.jpg,1.659,1.498,02,05/10/2022,17:55 h,97.7099,ANCÓN,ANCÓN,PARTIDO POLITICO NACIONAL PERU LIBRE,JULIAN TEOFILO CALDAS MEGO,1973-01-08T00:00:00,M
9,7,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.0,128,128,"1,212",00000007.jpg,4.389,3.964,02,05/10/2022,17:55 h,97.7099,ANCÓN,ANCÓN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PABLO CESAR RAMOS OCAÑA,1979-05-10T00:00:00,M
10,5,JUNTOS POR EL PERU,,100.0,128,128,"1,658",00000005.jpg,6.004,5.423,02,05/10/2022,17:55 h,97.7099,ANCÓN,ANCÓN,JUNTOS POR EL PERU,MARIO GUZMAN ALFARO,1971-01-04T00:00:00,M
11,11,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.0,128,128,"2,017",00000011.jpg,7.304,6.598,02,05/10/2022,17:55 h,97.7099,ANCÓN,ANCÓN,PARTIDO FRENTE DE LA ESPERANZA 2021,LUISA SILVIA BENITES CASTILLO,1966-08-25T00:00:00,F
12,4,ALIANZA PARA EL PROGRESO,,100.0,128,128,"3,529",00000004.jpg,12.779,11.543,02,05/10/2022,17:55 h,97.7099,ANCÓN,ANCÓN,ALIANZA PARA EL PROGRESO,FELIPE ARAKAKI SHAPIAMA,1973-03-16T00:00:00,M
13,3,RENOVACION POPULAR,,100.0,128,128,"3,661",00000003.jpg,13.257,11.975,02,05/10/2022,17:55 h,97.7099,ANCÓN,ANCÓN,RENOVACION POPULAR,RAFAEL JESUS ZAPATA YESQUEN,1969-06-02T00:00:00,M
14,2,PARTIDO DEMOCRATICO SOMOS PERU,,100.0,128,128,"5,876",00000002.jpg,21.278,19.22,02,05/10/2022,17:55 h,97.7099,ANCÓN,ANCÓN,PARTIDO DEMOCRATICO SOMOS PERU,FERNANDO ANDRES CASTILLO RAMIREZ,1993-01-22T00:00:00,M
15,9,PODEMOS PERU,,100.0,128,128,"9,204",00000009.jpg,33.33,30.106,02,05/10/2022,17:55 h,97.7099,ANCÓN,ANCÓN,PODEMOS PERU,SAMUEL MARCOS DAZA TAYPE,1972-10-06T00:00:00,M
16,8,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.0,"1,545","1,545","8,095",00000008.jpg,2.498,2.21,03,05/10/2022,17:55 h,98.4704,ATE,ATE,PARTIDO POLITICO NACIONAL PERU LIBRE,MARIA ANGELICA TUPACYUPANQUI LINDO,1979-06-30T00:00:00,F
17,5,JUNTOS POR EL PERU,,100.0,"1,545","1,545","24,802",00000005.jpg,7.654,6.771,03,05/10/2022,17:55 h,98.4704,ATE,ATE,JUNTOS POR EL PERU,GEORGINA GRIMALDA BUENDIA SALVADOR,1964-04-25T00:00:00,F
