,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,ubigeo_reniec,departamento,provincia,distrito
0,10,PARTIDO MORADO,,100.0,70,70,89,00000010.jpg,0.689,0.589,10/10/2022,10:52 h,100.0000,10101,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
1,15,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,,100.0,70,70,556,00000015.jpg,4.302,3.679,10/10/2022,10:52 h,100.0000,10101,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
2,4,ALIANZA PARA EL PROGRESO,,100.0,70,70,"1,062",00000004.jpg,8.217,7.028,10/10/2022,10:52 h,100.0000,10101,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
3,5,JUNTOS POR EL PERU,,100.0,70,70,"1,403",00000005.jpg,10.855,9.285,10/10/2022,10:52 h,100.0000,10101,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
4,17,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,,100.0,70,70,"2,065",00000017.jpg,15.977,13.666,10/10/2022,10:52 h,100.0000,10101,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
5,3,RENOVACION POPULAR,,100.0,70,70,"2,814",00000003.jpg,21.772,18.622,10/10/2022,10:52 h,100.0000,10101,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
6,16,SENTIMIENTO AMAZONENSE REGIONAL,,100.0,70,70,"4,936",00000016.jpg,38.19,32.665,10/10/2022,10:52 h,100.0000,10101,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
7,15,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,,100.0,2,2,1,00000015.jpg,0.395,0.342,10/10/2022,10:52 h,100.0000,10102,10102,AMAZONAS,CHACHAPOYAS,ASUNCION
8,10,PARTIDO MORADO,,100.0,2,2,1,00000010.jpg,0.395,0.342,10/10/2022,10:52 h,100.0000,10102,10102,AMAZONAS,CHACHAPOYAS,ASUNCION
9,5,JUNTOS POR EL PERU,,100.0,2,2,11,00000005.jpg,4.348,3.767,10/10/2022,10:52 h,100.0000,10102,10102,AMAZONAS,CHACHAPOYAS,ASUNCION
10,3,RENOVACION POPULAR,,100.0,2,2,12,00000003.jpg,4.743,4.11,10/10/2022,10:52 h,100.0000,10102,10102,AMAZONAS,CHACHAPOYAS,ASUNCION
11,16,SENTIMIENTO AMAZONENSE REGIONAL,,100.0,2,2,29,00000016.jpg,11.462,9.932,10/10/2022,10:52 h,100.0000,10102,10102,AMAZONAS,CHACHAPOYAS,ASUNCION
12,17,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,,100.0,2,2,89,00000017.jpg,35.178,30.479,10/10/2022,10:52 h,100.0000,10102,10102,AMAZONAS,CHACHAPOYAS,ASUNCION
13,4,ALIANZA PARA EL PROGRESO,,100.0,2,2,110,00000004.jpg,43.478,37.671,10/10/2022,10:52 h,100.0000,10102,10102,AMAZONAS,CHACHAPOYAS,ASUNCION
14,15,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,,100.0,4,4,1,00000015.jpg,0.132,0.123,10/10/2022,10:52 h,100.0000,10103,10103,AMAZONAS,CHACHAPOYAS,BALSAS
15,10,PARTIDO MORADO,,100.0,4,4,1,00000010.jpg,0.132,0.123,10/10/2022,10:52 h,100.0000,10103,10103,AMAZONAS,CHACHAPOYAS,BALSAS
16,5,JUNTOS POR EL PERU,,100.0,4,4,7,00000005.jpg,0.923,0.858,10/10/2022,10:52 h,100.0000,10103,10103,AMAZONAS,CHACHAPOYAS,BALSAS
17,17,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,,100.0,4,4,65,00000017.jpg,8.575,7.966,10/10/2022,10:52 h,100.0000,10103,10103,AMAZONAS,CHACHAPOYAS,BALSAS
18,16,SENTIMIENTO AMAZONENSE REGIONAL,,100.0,4,4,175,00000016.jpg,23.087,21.446,10/10/2022,10:52 h,100.0000,10103,10103,AMAZONAS,CHACHAPOYAS,BALSAS
19,3,RENOVACION POPULAR,,100.0,4,4,200,00000003.jpg,26.385,24.51,10/10/2022,10:52 h,100.0000,10103,10103,AMAZONAS,CHACHAPOYAS,BALSAS
20,4,ALIANZA PARA EL PROGRESO,,100.0,4,4,309,00000004.jpg,40.765,37.868,10/10/2022,10:52 h,100.0000,10103,10103,AMAZONAS,CHACHAPOYAS,BALSAS
21,10,PARTIDO MORADO,,100.0,3,3,1,00000010.jpg,0.206,0.18,10/10/2022,10:52 h,100.0000,10104,10104,AMAZONAS,CHACHAPOYAS,CHETO
22,4,ALIANZA PARA EL PROGRESO,,100.0,3,3,5,00000004.jpg,1.029,0.901,10/10/2022,10:52 h,100.0000,10104,10104,AMAZONAS,CHACHAPOYAS,CHETO
23,15,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,,100.0,3,3,9,00000015.jpg,1.852,1.622,10/10/2022,10:52 h,100.0000,10104,10104,AMAZONAS,CHACHAPOYAS,CHETO
24,5,JUNTOS POR EL PERU,,100.0,3,3,16,00000005.jpg,3.292,2.883,10/10/2022,10:52 h,100.0000,10104,10104,AMAZONAS,CHACHAPOYAS,CHETO
25,3,RENOVACION POPULAR,,100.0,3,3,37,00000003.jpg,7.613,6.667,10/10/2022,10:52 h,100.0000,10104,10104,AMAZONAS,CHACHAPOYAS,CHETO
26,16,SENTIMIENTO AMAZONENSE REGIONAL,,100.0,3,3,177,00000016.jpg,36.42,31.892,10/10/2022,10:52 h,100.0000,10104,10104,AMAZONAS,CHACHAPOYAS,CHETO
27,17,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,,100.0,3,3,241,00000017.jpg,49.588,43.423,10/10/2022,10:52 h,100.0000,10104,10104,AMAZONAS,CHACHAPOYAS,CHETO
28,15,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,,100.0,3,3,0,00000015.jpg,0.0,0.0,10/10/2022,10:52 h,100.0000,10105,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN
29,10,PARTIDO MORADO,,100.0,3,3,0,00000010.jpg,0.0,0.0,10/10/2022,10:52 h,100.0000,10105,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN
30,4,ALIANZA PARA EL PROGRESO,,100.0,3,3,17,00000004.jpg,2.967,2.681,10/10/2022,10:52 h,100.0000,10105,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN
31,5,JUNTOS POR EL PERU,,100.0,3,3,38,00000005.jpg,6.632,5.994,10/10/2022,10:52 h,100.0000,10105,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN
32,17,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,,100.0,3,3,123,00000017.jpg,21.466,19.401,10/10/2022,10:52 h,100.0000,10105,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN
33,3,RENOVACION POPULAR,,100.0,3,3,192,00000003.jpg,33.508,30.284,10/10/2022,10:52 h,100.0000,10105,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN
34,16,SENTIMIENTO AMAZONENSE REGIONAL,,100.0,3,3,203,00000016.jpg,35.428,32.019,10/10/2022,10:52 h,100.0000,10105,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN
35,10,PARTIDO MORADO,,100.0,6,6,0,00000010.jpg,0.0,0.0,10/10/2022,10:52 h,100.0000,10106,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
36,15,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,,100.0,6,6,1,00000015.jpg,0.103,0.094,10/10/2022,10:52 h,100.0000,10106,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
37,4,ALIANZA PARA EL PROGRESO,,100.0,6,6,21,00000004.jpg,2.156,1.964,10/10/2022,10:52 h,100.0000,10106,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
38,5,JUNTOS POR EL PERU,,100.0,6,6,86,00000005.jpg,8.83,8.045,10/10/2022,10:52 h,100.0000,10106,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
39,3,RENOVACION POPULAR,,100.0,6,6,104,00000003.jpg,10.678,9.729,10/10/2022,10:52 h,100.0000,10106,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
