,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
8,00000009,PODEMOS PERU,,100.000,253,253,112,00000009.jpg,0.259,0.219,12/10/2022,13:00 h,  90.3571,150113,8076
7,00000001,ACCION POPULAR,,100.000,253,253,235,00000001.jpg,0.544,0.458,12/10/2022,13:00 h,  90.3571,150113,8076
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,253,253,272,00000008.jpg,0.630,0.531,12/10/2022,13:00 h,  90.3571,150113,8076
6,00000006,FUERZA POPULAR,,100.000,253,253,432,00000006.jpg,1.000,0.843,12/10/2022,13:00 h,  90.3571,150113,8076
5,00000161,LORETO PARA TODOS,,100.000,253,253,508,00000161.jpg,1.176,0.991,12/10/2022,13:00 h,  90.3571,150113,8076
4,00000076,JUNTOS POR LORETO,,100.000,253,253,908,00000076.jpg,2.103,1.771,12/10/2022,13:00 h,  90.3571,150113,8076
1,10000080,MISION ORGANIZADA VIA INTEGRIDAD Y LIBERTAD,,100.000,253,253,1553,10000080.jpg,3.596,3.030,12/10/2022,13:00 h,  90.3571,150113,8076
9,00000004,ALIANZA PARA EL PROGRESO,,100.000,253,253,1883,00000004.jpg,4.361,3.674,12/10/2022,13:00 h,  90.3571,150113,8076
0,00000075,MOVIMIENTO INDEPENDIENTE LORETO - MI LORETO,,100.000,253,253,3822,00000075.jpg,8.851,7.456,12/10/2022,13:00 h,  90.3571,150113,8076
3,00000078,MOVIMIENTO ESPERANZA REGION AMAZONICA,,100.000,253,253,7980,00000078.jpg,18.480,15.568,12/10/2022,13:00 h,  90.3571,150113,8076
2,00000079,MOVIMIENTO INDEPENDIENTE REIVINDIQUEMOS LORETO,,100.000,253,253,11487,00000079.jpg,26.601,22.410,12/10/2022,13:00 h,  90.3571,150113,8076
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,253,253,13990,00000002.jpg,32.398,27.293,12/10/2022,13:00 h,  90.3571,150113,8076
