,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000043,CONTIGO CALLAO,,100.000,775,775,"43,061",00000043.jpg,28.868,23.869,06/10/2022,17:50 h,  97.4843,240106
1,00000044,SI SE PUEDE CALLAO,,100.000,775,775,"1,524",00000044.jpg,1.022,0.845,06/10/2022,17:50 h,  97.4843,240106
2,00000045,POR TI CALLAO,,100.000,775,775,"5,759",00000045.jpg,3.861,3.192,06/10/2022,17:50 h,  97.4843,240106
3,00000046,MOVIMIENTO REGIONAL SOMOS CALLAO,,100.000,775,775,"2,911",00000046.jpg,1.952,1.614,06/10/2022,17:50 h,  97.4843,240106
4,00000041,FUERZA CALLAO SEGURO,,100.000,775,775,"3,088",00000041.jpg,2.070,1.712,06/10/2022,17:50 h,  97.4843,240106
5,00000042,MOVIMIENTO REGIONAL VIVA EL CALLAO,,100.000,775,775,"3,225",00000042.jpg,2.162,1.788,06/10/2022,17:50 h,  97.4843,240106
6,00000040,MOVIMIENTO REGIONAL MAS CALLAO,,100.000,775,775,"27,288",00000040.jpg,18.294,15.126,06/10/2022,17:50 h,  97.4843,240106
7,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,775,775,"5,772",00000011.jpg,3.870,3.199,06/10/2022,17:50 h,  97.4843,240106
8,00000141,PARTIDO PATRIOTICO DEL PERU,,100.000,775,775,737,00000141.jpg,0.494,0.409,06/10/2022,17:50 h,  97.4843,240106
9,00000005,JUNTOS POR EL PERU,,100.000,775,775,"6,580",00000005.jpg,4.411,3.647,06/10/2022,17:50 h,  97.4843,240106
10,00000006,FUERZA POPULAR,,100.000,775,775,"6,774",00000006.jpg,4.541,3.755,06/10/2022,17:50 h,  97.4843,240106
11,00000009,PODEMOS PERU,,100.000,775,775,"6,263",00000009.jpg,4.199,3.472,06/10/2022,17:50 h,  97.4843,240106
12,00000003,RENOVACION POPULAR,,100.000,775,775,"6,166",00000003.jpg,4.134,3.418,06/10/2022,17:50 h,  97.4843,240106
13,00000004,ALIANZA PARA EL PROGRESO,,100.000,775,775,"5,269",00000004.jpg,3.532,2.921,06/10/2022,17:50 h,  97.4843,240106
14,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,775,775,"11,558",00000007.jpg,7.749,6.407,06/10/2022,17:50 h,  97.4843,240106
15,00000010,PARTIDO MORADO,,100.000,775,775,"2,360",00000010.jpg,1.582,1.308,06/10/2022,17:50 h,  97.4843,240106
16,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,775,775,"10,828",00000002.jpg,7.259,6.002,06/10/2022,17:50 h,  97.4843,240106
