,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos,ubigeo_reniec,departamento,provincia,distrito
0,16,SENTIMIENTO AMAZONENSE REGIONAL,,100.0,84,84,1312,00000016.jpg,13.508,9.904,12/10/2022,12:30 h,100.0000,10206,3534,10206,AMAZONAS,BAGUA,IMAZA
1,17,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,,100.0,84,84,2320,00000017.jpg,23.886,17.513,12/10/2022,12:30 h,100.0000,10206,3534,10206,AMAZONAS,BAGUA,IMAZA
2,3,RENOVACION POPULAR,,100.0,84,84,2082,00000003.jpg,21.435,15.717,12/10/2022,12:30 h,100.0000,10206,3534,10206,AMAZONAS,BAGUA,IMAZA
3,10,PARTIDO MORADO,,100.0,84,84,15,00000010.jpg,0.154,0.113,12/10/2022,12:30 h,100.0000,10206,3534,10206,AMAZONAS,BAGUA,IMAZA
4,15,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,,100.0,84,84,1722,00000015.jpg,17.729,12.999,12/10/2022,12:30 h,100.0000,10206,3534,10206,AMAZONAS,BAGUA,IMAZA
5,14,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,,100.0,84,84,1474,00000014.jpg,15.176,11.127,12/10/2022,12:30 h,100.0000,10206,3534,10206,AMAZONAS,BAGUA,IMAZA
6,6,FUERZA POPULAR,,100.0,84,84,594,00000006.jpg,6.116,4.484,12/10/2022,12:30 h,100.0000,10206,3534,10206,AMAZONAS,BAGUA,IMAZA
7,4,ALIANZA PARA EL PROGRESO,,100.0,84,84,194,00000004.jpg,1.997,1.464,12/10/2022,12:30 h,100.0000,10206,3534,10206,AMAZONAS,BAGUA,IMAZA
8,16,SENTIMIENTO AMAZONENSE REGIONAL,,100.0,15,15,857,00000016.jpg,36.515,26.088,12/10/2022,12:30 h,93.7500,10306,938,10306,AMAZONAS,BONGARA,FLORIDA
9,3,RENOVACION POPULAR,,100.0,15,15,368,00000003.jpg,15.68,11.202,12/10/2022,12:30 h,93.7500,10306,938,10306,AMAZONAS,BONGARA,FLORIDA
