,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
1,00000026,MOVIMIENTO REGIONAL REVALORA,,100.000,4,4,3,00000026.jpg,0.787,0.419,12/10/2022,12:30 h, 100.0000,040210,335
8,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,4,4,5,00000007.jpg,1.312,0.698,12/10/2022,12:30 h, 100.0000,040210,335
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,4,4,8,00000008.jpg,2.100,1.117,12/10/2022,12:30 h, 100.0000,040210,335
3,00000032,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.000,4,4,12,00000032.jpg,3.150,1.676,12/10/2022,12:30 h, 100.0000,040210,335
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,4,4,12,00000004.jpg,3.150,1.676,12/10/2022,12:30 h, 100.0000,040210,335
4,00000027,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.000,4,4,25,00000027.jpg,6.562,3.492,12/10/2022,12:30 h, 100.0000,040210,335
6,00000005,JUNTOS POR EL PERU,,100.000,4,4,28,00000005.jpg,7.349,3.911,12/10/2022,12:30 h, 100.0000,040210,335
5,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,4,4,37,00000031.jpg,9.711,5.168,12/10/2022,12:30 h, 100.0000,040210,335
0,00000028,YO AREQUIPA,,100.000,4,4,70,00000028.jpg,18.373,9.777,12/10/2022,12:30 h, 100.0000,040210,335
2,00000029,FUERZA AREQUIPEÑA,,100.000,4,4,72,00000029.jpg,18.898,10.056,12/10/2022,12:30 h, 100.0000,040210,335
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,4,4,109,00000002.jpg,28.609,15.223,12/10/2022,12:30 h, 100.0000,040210,335
