,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo,departamento,postulaDepartamento,txUbigeo,organizacionPolitica,nombreCompleto,postulaProvincia,feNacimiento,txSexo,age
0,10,PARTIDO MORADO,,100.0,152,152,107,00000010.jpg,0.388,0.337,01,07/10/2022,16:00 h,98.7013,10100,AMAZONAS,AMAZONAS,10100,PARTIDO MORADO,OLGA ESPERANZA TEJADA HUAMAN,CHACHAPOYAS,1972-12-18,F,49
1,15,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,,100.0,152,152,658,00000015.jpg,2.388,2.071,01,07/10/2022,16:00 h,98.7013,10100,AMAZONAS,AMAZONAS,10100,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ITAMAR GUERRERO RIVASPLATA,CHACHAPOYAS,2001-02-26,F,21
2,4,ALIANZA PARA EL PROGRESO,,100.0,152,152,"2,636",00000004.jpg,9.568,8.297,01,07/10/2022,16:00 h,98.7013,10100,AMAZONAS,AMAZONAS,10100,ALIANZA PARA EL PROGRESO,LESTER GEOFREY DIAZ VILLANUEVA,CHACHAPOYAS,1983-02-20,M,39
3,5,JUNTOS POR EL PERU,,100.0,152,152,"3,129",00000005.jpg,11.358,9.849,01,07/10/2022,16:00 h,98.7013,10100,AMAZONAS,AMAZONAS,10100,JUNTOS POR EL PERU,WILLIAM GOMEZ BAZAN,CHACHAPOYAS,1965-03-13,M,57
4,3,RENOVACION POPULAR,,100.0,152,152,"5,615",00000003.jpg,20.381,17.673,01,07/10/2022,16:00 h,98.7013,10100,AMAZONAS,AMAZONAS,10100,RENOVACION POPULAR,FERNANDO SANTILLAN MEZA,CHACHAPOYAS,1963-08-19,M,59
5,17,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,,100.0,152,152,"5,844",00000017.jpg,21.212,18.394,01,07/10/2022,16:00 h,98.7013,10100,AMAZONAS,AMAZONAS,10100,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,MARIO YLDEFONSO TORREJON ARELLANOS,CHACHAPOYAS,1963-10-11,M,58
6,16,SENTIMIENTO AMAZONENSE REGIONAL,,100.0,152,152,"9,561",00000016.jpg,34.704,30.093,01,07/10/2022,16:00 h,98.7013,10100,AMAZONAS,AMAZONAS,10100,SENTIMIENTO AMAZONENSE REGIONAL,PERCY ZUTA CASTILLO,CHACHAPOYAS,1979-02-28,M,43
7,8,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.0,430,430,"1,353",00000008.jpg,1.705,1.385,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,PARTIDO POLITICO NACIONAL PERU LIBRE,ERIK WILLIAM DAMIAN GLORIA,HUARAZ,1982-02-13,M,40
8,9,PODEMOS PERU,,100.0,430,430,"1,356",00000009.jpg,1.709,1.388,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,PODEMOS PERU,ARTHUR NOBEL COCHACHIN MAGUIÑA,HUARAZ,1988-10-29,M,33
9,1,ACCION POPULAR,,100.0,430,430,"1,760",00000001.jpg,2.218,1.801,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,ACCION POPULAR,CURRE DIONICIO ROJAS LEON,HUARAZ,1981-05-08,M,41
10,3,RENOVACION POPULAR,,100.0,430,430,"2,844",00000003.jpg,3.583,2.91,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,RENOVACION POPULAR,MIGUEL JOHN MUÑOZ AVENDAÑO,HUARAZ,1979-12-17,M,42
11,18,MOVIMIENTO ACCION NACIONALISTA PERUANO,,100.0,430,430,"3,285",00000018.jpg,4.139,3.362,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,MOVIMIENTO ACCION NACIONALISTA PERUANO,INOCENCIO NEMECIO VILLAFUERTE COLONIA,HUARAZ,1969-09-22,M,53
12,20,MOVIMIENTO REGIONAL EL MAICITO,,100.0,430,430,"4,970",00000020.jpg,6.262,5.086,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,MOVIMIENTO REGIONAL EL MAICITO,JUSTO MELVIN MANRIQUE PADILLA,HUARAZ,1991-02-22,M,31
13,7,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.0,430,430,"6,304",00000007.jpg,7.943,6.451,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,ANGEL JANWILLEM DURAN LEON,HUARAZ,1970-10-31,M,51
14,4,ALIANZA PARA EL PROGRESO,,100.0,430,430,"7,777",00000004.jpg,9.799,7.958,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,ALIANZA PARA EL PROGRESO,DIONICIO ALEJANDRO PAUCAR ALARCON,HUARAZ,1969-03-10,M,53
15,5,JUNTOS POR EL PERU,,100.0,430,430,"9,700",00000005.jpg,12.222,9.926,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,JUNTOS POR EL PERU,JABICO PRUDENCIO ROBLES BLACIDO,HUARAZ,1970-05-03,M,52
16,19,SOCIOS POR ANCASH,,100.0,430,430,"11,331",00000019.jpg,14.277,11.595,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,SOCIOS POR ANCASH,RAUL MARIO ORTIZ RODRIGUEZ,HUARAZ,1961-02-09,M,61
17,21,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.0,430,430,"28,686",00000021.jpg,36.144,29.354,02,07/10/2022,16:00 h,97.0655,20100,ÁNCASH,ÁNCASH,20100,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,DAVID MANUEL ROSALES TINOCO,HUARAZ,1955-12-29,M,66
18,10,PARTIDO MORADO,,100.0,288,288,407,00000010.jpg,0.744,0.634,03,07/10/2022,16:00 h,98.9691,30100,APURÍMAC,APURÍMAC,30100,PARTIDO MORADO,REYNALDO BACA SEQUEIROS,ABANCAY,1964-09-28,M,58
19,2,PARTIDO DEMOCRATICO SOMOS PERU,,100.0,288,288,"2,478",00000002.jpg,4.527,3.862,03,07/10/2022,16:00 h,98.9691,30100,APURÍMAC,APURÍMAC,30100,PARTIDO DEMOCRATICO SOMOS PERU,ELIO MAURO VIDAL ROBLES,ABANCAY,1966-08-05,M,56
