,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo
0,00000043,CONTIGO CALLAO,,100.000,"2,769","2,769","159,038",00000043.jpg,29.441,24.661,24,12/10/2022,10:30 h,  99.7838,240100
1,00000044,SI SE PUEDE CALLAO,,100.000,"2,769","2,769","9,049",00000044.jpg,1.675,1.403,24,12/10/2022,10:30 h,  99.7838,240100
2,00000045,POR TI CALLAO,,100.000,"2,769","2,769","19,455",00000045.jpg,3.601,3.017,24,12/10/2022,10:30 h,  99.7838,240100
3,00000046,MOVIMIENTO REGIONAL SOMOS CALLAO,,100.000,"2,769","2,769","9,587",00000046.jpg,1.775,1.487,24,12/10/2022,10:30 h,  99.7838,240100
4,00000041,FUERZA CALLAO SEGURO,,100.000,"2,769","2,769","13,188",00000041.jpg,2.441,2.045,24,12/10/2022,10:30 h,  99.7838,240100
5,00000042,MOVIMIENTO REGIONAL VIVA EL CALLAO,,100.000,"2,769","2,769","16,173",00000042.jpg,2.994,2.508,24,12/10/2022,10:30 h,  99.7838,240100
6,00000040,MOVIMIENTO REGIONAL MAS CALLAO,,100.000,"2,769","2,769","87,749",00000040.jpg,16.244,13.607,24,12/10/2022,10:30 h,  99.7838,240100
7,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"2,769","2,769","23,460",00000011.jpg,4.343,3.638,24,12/10/2022,10:30 h,  99.7838,240100
8,00000141,PARTIDO PATRIOTICO DEL PERU,,100.000,"2,769","2,769","3,347",00000141.jpg,0.620,0.519,24,12/10/2022,10:30 h,  99.7838,240100
9,00000005,JUNTOS POR EL PERU,,100.000,"2,769","2,769","12,288",00000005.jpg,2.275,1.905,24,12/10/2022,10:30 h,  99.7838,240100
10,00000006,FUERZA POPULAR,,100.000,"2,769","2,769","23,040",00000006.jpg,4.265,3.573,24,12/10/2022,10:30 h,  99.7838,240100
11,00000009,PODEMOS PERU,,100.000,"2,769","2,769","25,547",00000009.jpg,4.729,3.961,24,12/10/2022,10:30 h,  99.7838,240100
12,00000003,RENOVACION POPULAR,,100.000,"2,769","2,769","30,955",00000003.jpg,5.730,4.800,24,12/10/2022,10:30 h,  99.7838,240100
13,00000004,ALIANZA PARA EL PROGRESO,,100.000,"2,769","2,769","25,214",00000004.jpg,4.668,3.910,24,12/10/2022,10:30 h,  99.7838,240100
14,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"2,769","2,769","34,339",00000007.jpg,6.357,5.325,24,12/10/2022,10:30 h,  99.7838,240100
15,00000010,PARTIDO MORADO,,100.000,"2,769","2,769","10,259",00000010.jpg,1.899,1.591,24,12/10/2022,10:30 h,  99.7838,240100
16,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"2,769","2,769","37,507",00000002.jpg,6.943,5.816,24,12/10/2022,10:30 h,  99.7838,240100
