,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance
0,00000043,CONTIGO CALLAO,,100.000,"2,636","2,636","138,419",00000043.jpg,28.435,22.495,24,07/10/2022,08:55 h,  94.9910
1,00000044,SI SE PUEDE CALLAO,,100.000,"2,636","2,636","9,966",00000044.jpg,2.047,1.620,24,07/10/2022,08:55 h,  94.9910
2,00000045,POR TI CALLAO,,100.000,"2,636","2,636","16,683",00000045.jpg,3.427,2.711,24,07/10/2022,08:55 h,  94.9910
3,00000041,FUERZA CALLAO SEGURO,,100.000,"2,636","2,636","12,749",00000041.jpg,2.619,2.072,24,07/10/2022,08:55 h,  94.9910
4,00000042,MOVIMIENTO REGIONAL VIVA EL CALLAO,,100.000,"2,636","2,636","14,640",00000042.jpg,3.007,2.379,24,07/10/2022,08:55 h,  94.9910
5,00000040,MOVIMIENTO REGIONAL MAS CALLAO,,100.000,"2,636","2,636","118,158",00000040.jpg,24.273,19.202,24,07/10/2022,08:55 h,  94.9910
6,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"2,636","2,636","28,643",00000011.jpg,5.884,4.655,24,07/10/2022,08:55 h,  94.9910
7,00000006,FUERZA POPULAR,,100.000,"2,636","2,636","21,166",00000006.jpg,4.348,3.440,24,07/10/2022,08:55 h,  94.9910
8,00000009,PODEMOS PERU,,100.000,"2,636","2,636","23,368",00000009.jpg,4.800,3.798,24,07/10/2022,08:55 h,  94.9910
9,00000003,RENOVACION POPULAR,,100.000,"2,636","2,636","27,152",00000003.jpg,5.578,4.412,24,07/10/2022,08:55 h,  94.9910
10,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"2,636","2,636","33,101",00000007.jpg,6.800,5.379,24,07/10/2022,08:55 h,  94.9910
11,00000010,PARTIDO MORADO,,100.000,"2,636","2,636","10,669",00000010.jpg,2.192,1.734,24,07/10/2022,08:55 h,  94.9910
12,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"2,636","2,636","32,082",00000002.jpg,6.590,5.214,24,07/10/2022,08:55 h,  94.9910
